station_id,station_name,row_count,first_date,last_date,failed_months
291,"득량도",418,2025-01-01,2026-02-22,
295,"문도",418,2025-01-01,2026-02-22,
296,"덕우도",418,2025-01-01,2026-02-22,
299,"득암리",418,2025-01-01,2026-02-22,
302,"화흥포",418,2025-01-01,2026-02-22,
305,"넙도",418,2025-01-01,2026-02-22,
306,"보옥항",418,2025-01-01,2026-02-22,
307,"신양항",418,2025-01-01,2026-02-22,
310,"구엄포구",418,2025-01-01,2026-02-22,
311,"하고수동",418,2025-01-01,2026-02-22,
312,"행원포구",418,2025-01-01,2026-02-22,
314,"표선(세화리)",418,2025-01-01,2026-02-22,
316,"중문",418,2025-01-01,2026-02-22,
318,"차귀도포구",418,2025-01-01,2026-02-22,
321,"둔전리",418,2025-01-01,2026-02-22,
324,"신의도",418,2025-01-01,2026-02-22,
327,"세방리",418,2025-01-01,2026-02-22,
328,"고사도",418,2025-01-01,2026-02-22,
333,"매화도",418,2025-01-01,2026-02-22,
342,"송이도",418,2025-01-01,2026-02-22,
348,"야미도",418,2025-01-01,2026-02-22,
349,"방축도",418,2025-01-01,2026-02-22,
350,"녹도항",418,2025-01-01,2026-02-22,
351,"호도",418,2025-01-01,2026-02-22,
356,"남당항",418,2025-01-01,2026-02-22,
358,"방포항",418,2025-01-01,2026-02-22,
361,"통개항",418,2025-01-01,2026-02-22,
364,"의항항",418,2025-01-01,2026-02-22,
365,"황촌리",418,2025-01-01,2026-02-22,
372,"원정리",418,2025-01-01,2026-02-22,
375,"울도항",418,2025-01-01,2026-02-22,
378,"선재도",418,2025-01-01,2026-02-22,
383,"죽산포",418,2025-01-01,2026-02-22,
384,"매음리",418,2025-01-01,2026-02-22,
387,"소청도",418,2025-01-01,2026-02-22,
388,"현포항",418,2025-01-01,2026-02-22,
390,"울릉사동항",418,2025-01-01,2026-02-22,
395,"거제외포",418,2025-01-01,2026-02-22,
396,"북여도",418,2025-01-01,2026-02-22,
400,"삼천포신항",418,2025-01-01,2026-02-22,
401,"지족리",418,2025-01-01,2026-02-22,
405,"두모리",418,2025-01-01,2026-02-22,
408,"시산항",418,2025-01-01,2026-02-22,
409,"대리",418,2025-01-01,2026-02-22,
410,"회진항",418,2025-01-01,2026-02-22,
412,"도장항",418,2025-01-01,2026-02-22,
413,"완도사동항",418,2025-01-01,2026-02-22,
414,"이월리",418,2025-01-01,2026-02-22,
417,"하우목동항",418,2025-01-01,2026-02-22,
424,"주광리",418,2025-01-01,2026-02-22,
425,"달리도",418,2025-01-01,2026-02-22,
431,"하섬",418,2025-01-01,2026-02-22,
432,"대야도항",418,2025-01-01,2026-02-22,
435,"북격렬비도",418,2025-01-01,2026-02-22,
436,"가곡리",418,2025-01-01,2026-02-22,
441,"건평나루",418,2025-01-01,2026-02-22,
442,"경인항",418,2025-01-01,2026-02-22,
445,"수산항",418,2025-01-01,2026-02-22,
449,"호산항",418,2025-01-01,2026-02-22,
453,"송정",418,2025-01-01,2026-02-22,
458,"어란리",418,2025-01-01,2026-02-22,
459,"하의도서측",418,2025-01-01,2026-02-22,
462,"대야도",418,2025-01-01,2026-02-22,
464,"상왕등도",418,2025-01-01,2026-02-22,
467,"시화호",418,2025-01-01,2026-02-22,
469,"수도",418,2025-01-01,2026-02-22,
475,"비금도가산",418,2025-01-01,2026-02-22,
482,"하효항",418,2025-01-01,2026-02-22,
487,"국산리",418,2025-01-01,2026-02-22,
488,"생일도",418,2025-01-01,2026-02-22,
490,"수문리",418,2025-01-01,2026-02-22,
494,"강양항",418,2025-01-01,2026-02-22,
496,"강릉",418,2025-01-01,2026-02-22,
497,"공현진항",418,2025-01-01,2026-02-22,
502,"구영리",418,2025-01-01,2026-02-22,
505,"창선도",418,2025-01-01,2026-02-22,
508,"땅끝항",418,2025-01-01,2026-02-22,
509,"강정항",418,2025-01-01,2026-02-22,
512,"진도옥도",418,2025-01-01,2026-02-22,
513,"상태도",418,2025-01-01,2026-02-22,
515,"흑산도사리",418,2025-01-01,2026-02-22,
520,"매월리",418,2025-01-01,2026-02-22,
528,"대진항",418,2025-01-01,2026-02-22,
533,"울진사동항",418,2025-01-01,2026-02-22,
538,"포교항",418,2025-01-01,2026-02-22,
540,"장포항",418,2025-01-01,2026-02-22,
547,"대벽리",418,2025-01-01,2026-02-22,
550,"월정리",418,2025-01-01,2026-02-22,
552,"안남리",418,2025-01-01,2026-02-22,
554,"월양항",418,2025-01-01,2026-02-22,
556,"가우도",418,2025-01-01,2026-02-22,
557,"조천항",418,2025-01-01,2026-02-22,
570,"용호부두",418,2025-01-01,2026-02-22,
577,"염호리",418,2025-01-01,2026-02-22,
578,"장문리",418,2025-01-01,2026-02-22,
583,"영전리",418,2025-01-01,2026-02-22,
590,"이흑암리",418,2025-01-01,2026-02-22,
